file_name,ilidar_version,sensor_sn,capture_mode,capture_row,capture_shutter,,,,,capture_limit,,capture_period_us,capture_seq,data_output,data_baud,data_sensor_ip,data_dest_ip,data_subnet,data_gateway,data_port,data_mac_addr,sync,sync_trig_delay_us,sync_ill_delay_us,,,,,,,,,,,,,,,sync_trig_trim_us,sync_ill_trim_us,sync_output_delay_us,arb,arb_timeout
sensor_00,1.5.X,451,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,0,3680,3680,3680,3680,2400,2400,2400,2400,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_01,1.5.X,452,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,560,3680,3680,3680,3360,2400,2400,2400,2336,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_02,1.5.X,453,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,736,3680,3680,3680,3424,2400,2400,2400,2656,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_03,1.5.X,454,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,1296,3680,3680,3680,3104,2400,2400,2400,2592,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_04,1.5.X,455,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,1472,3680,3680,3680,3168,2400,2400,2400,2912,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_05,1.5.X,456,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,2032,3680,3680,3680,2848,2400,2400,2400,2848,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_06,1.5.X,457,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,2208,3680,3680,3680,2912,2400,2400,2400,3168,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_07,1.5.X,458,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,2768,3680,3680,3680,2592,2400,2400,2400,3104,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_08,1.5.X,459,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,2944,3680,3680,3680,2656,2400,2400,2400,3424,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_09,1.5.X,460,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,3504,3680,3680,3680,2336,2400,2400,2400,3360,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_10,1.5.X,461,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,40000,3680,3680,3680,3680,2400,2400,2400,2400,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_11,1.5.X,462,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,40560,3680,3680,3680,3360,2400,2400,2400,2336,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_12,1.5.X,463,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,40736,3680,3680,3680,3424,2400,2400,2400,2656,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_13,1.5.X,464,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,41296,3680,3680,3680,3104,2400,2400,2400,2592,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_14,1.5.X,465,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,41472,3680,3680,3680,3168,2400,2400,2400,2912,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_15,1.5.X,466,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,42032,3680,3680,3680,2848,2400,2400,2400,2848,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_16,1.5.X,467,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,42208,3680,3680,3680,2912,2400,2400,2400,3168,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_17,1.5.X,468,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,42768,3680,3680,3680,2592,2400,2400,2400,3104,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_18,1.5.X,469,2,160,400,80,16,0,8000,200,200,80000,0,7,115200,,,,,,,1,42944,3680,3680,3680,2656,2400,2400,2400,3424,3680,3680,3680,0,0,0,0,4,2,0,0,300000
sensor_19,1.5.X,470,2,160,400,80,16,0,8000,200,200,80000,1,7,115200,,,,,,,1,43504,3680,3680,3680,2336,2400,2400,2400,3360,3680,3680,3680,0,0,0,0,4,2,0,0,300000
